subject,predicate,object,image_id
man,hold,frisbee,163562
buildings,cover,area,555597
person,rest,head,30828
collage,show,car,527220
that,cook,food,281032
pedestrian,cross,street,21839
that,have,monitors,435003
man,prepare,food,281032
church,glass,window,481404
bicyclist,perform,wheelie,472623
bathroom,have,toilet,251065
man,smile,sitting,491090
man,balance,bicycle,472623
that,have,trees,384850
person,cross,street,21839
that,have,trees,384850
man,tie,food,281032
bathroom,have,curtain,384850
contestant,catch,sheep,156071
motorcycles,line,street,356387
woman,put,shopping,146667
someone,drive,cart,520324
person,drive,motorcycle,455624
area,feature,shelving,53505
woman,check,motorcycle,146667
boy,cut,cake,25096
man,race,horse,29187
who,wear,suits,69213
who,ride,motorcycle,455624
area,feature,window,45229
person,ride,motorcycle,380706
bathroom,have,walls,462614
vendor,sell,food,323263
person,ride,motorcycle,380706
couple,prepare,food,441247
woman,leave,building,224724
woman,sell,fruit,323263
that,have,tomatoes,402346
room,feature,cabinets,34873
person,cook,eggs,580294
bathroom,have,walls,286907
woman,wear,wetsuit,489339
island,have,sink,34873
that,have,lunch,293044
woman,make,eggs,580294
lady,prepare,pancakes,580294
cleaners,take,rest,8211
dog,wear,helmet,472375
dog,cut,piece,419974
man,slice,meat,419974
bus,make,turn,206487
bus,make,way,206487
kitchen,have,cabinets,222825
owner,cut,meat,419974
person,spray,inside,206411
man,ride,motorcycle,152120
bathroom,have,pattern,383443
man,spray,toilet,206411
bathroom,show,sink,383443
bathroom,sing,counter,474786
look,herd,sheep,209613
dog,stick,head,365207
man,have,look,262895
someone,demonstrate,works,37670
that,have,tv,77396
mirror,show,dog,365207
kitchen,have,refrigerator,507081
which,include,bidet,255401
which,overlook,water,185802
bathroom,have,seat,232649
wow,pare,some,490936
woman,take,photo,232649
women,take,picture,232649
man,hold,bunch,389812
toilet,paint,red,263796
light,have,faces,531134
motorcycle,chip,doors,149406
that,hit,pole,292997
area,feature,refrigerator,445658
bathroom,have,sinks,376310
kitchen,have,lot,445658
mug,show,skull,2592
streetlights,light,night,133087
people,take,look,272136
girl,eat,banana,550714
group,ride,motocycles,534827
clock,keep,time,184762
monitor,have,picture,149222
it,use,cleaning,523229
clock,have,face,184762
mouse,cord,wires,363840
woman,teach,class,199771
kitchen,have,table,529568
kitchen,have,chandelier,529568
that,ride,motorcycle,433204
people,purchase,tickets,361586
people,serve,food,182611
people,have,plate,182611
nman,pick,food,182611
that,have,floor,453302
that,carpet,floors,68833
toaster,have,eyes,66841
kitchen,have,refrigerator,453302
group,paddle,boat,57672
person,stand,steering,57672
airplane,do,tricks,199977
airplane,let,smoke,199977
biplane,leave,trail,199977
bathroom,have,seat,105249
utensils,line,sink,102707
kid,jump,hill,102331
kitchen,have,cabinets,519569
that,have,pieces,312278
person,flush,toilet,484415
hand,flush,toilet,484415
station,have,television,560312
that,have,seat,288062
bunch,make,way,338304
kitchen,have,range,177935
hundreds,clog,traffic,254814
people,take,pictures,338304
that,face,television,491497
someone,put,collection,342295
person,dress,it,579321
someone,open,hood,466156
man,ride,skateboard,279278
man,wear,kilt,42102
that,wear,coat,42102
men,do,work,32817
people,cut,cake,144003
man,hold,bunch,389812
bathroom,flush,toilet,328959
that,have,shells,323202
cell,have,toilet,365387
bathroom,have,sinks,186632
bathroom,have,sinks,186632
man,hold,bunch,389812
that,break,wood,267903
pedestrians,cross,street,538364
woman,make,contact,482436
bathroom,have,sink,267903
giraffes,have,log,287545
men,ride,big,38829
man,ride,bike,289343
cop,ride,motorcycle,538364
chefs,prepare,meals,66231
dog,have,nose,498286
that,have,table,415194
person,ride,bike,289343
that,have,bathtub,351362
policeman,lead,way,136715
someone,mount,umbrella,256941
giraffe,peer,heads,566042
people,reach,hands,56350
person,fly,biplane,183500
officer,ride,motorcycle,136715
girl,take,selfie,507473
bathroom,paint,blue,10977
bathroom,take,selfie,507473
woman,brush,teeth,507473
bathroom,have,tiles,10977
shepard,herd,flock,129756
that,say,500,293245
who,hold,whisk,481386
kitchen,have,floor,290768
bathroom,have,sink,569917
that,have,televisions,166521
television,show,movie,187249
man,brush,teeth,164602
statue,hold,orb,484760
people,ride,bikes,169996
people,drive,motorcycles,226417
that,clean,products,34760
that,have,fridge,540502
kitchen,have,pineapples,472046
bathroom,stand,shower,163258
bike,do,tricks,190756
bathroom,show,toilet,163258
people,negotiate,streets,226417
that,have,wall,403385
that,ride,bikes,343561
oerson,raid,fridge,423123
that,have,television,41872
that,have,rice,3845
man,take,selfie,237118
cat,drink,water,47121
kitchen,have,appliances,91615
that,have,stove,91615
man,take,picture,237118
woman,have,knife,458992
man,take,photo,237118
dog,eat,food,267300
bathroom,have,toilet,23666
kitchen,have,cabinetry,91615
boy,ride,carts,492362
beach,have,area,522713
that,have,refrigerator,506310
person,take,picture,9772
bus,lose,wheel,17207
burner,stove,door,98018
person,take,picture,9772
that,have,tags,322429
puppy,pull,line,61471
bathtub,take,wall,289992
that,have,bunch,322429
plane,soar,hundreds,543528
ad,show,kitchen,530836
man,stand,guitar,297353
puppy,pull,paper,61471
group,hold,animals,276018
plane,take,runway,196185
advertisement,show,kitchen,530836
cook,make,something,294350
who,cut,something,294350
that,have,day,268831
giraffes,enjoy,walk,22969
that,have,frame,184791
person,drive,motorcycle,143556
people,ride,motorcycles,143556
that,have,oranges,50896
woman,prepare,bread,17899
group,ride,motorcycles,203389
man,take,picture,384808
table,have,bowl,37777
kitchen,have,appliances,37777
line,ride,bicycles,492077
bathroom,have,army,180792
bathroom,feature,toilet,180792
that,have,bowl,37777
kitchen,have,stove,522007
bathroom,have,sink,237316
bathroom,have,all,237316
mirror,enhance,bathroom,210855
that,have,window,237316
that,have,cookware,491216
building,have,computers,464476
person,show,bowls,489305
chef,display,bowl,489305
woman,hold,child,413552
that,include,variety,489305
rider,take,break,454978
woman,hold,child,413552
photo,show,toilet,27982
cat,sit,inside,501523
that,have,landed,479912
bicycles,park,other,259830
kitchen,have,tools,248111
jet,take,passengers,479912
airplane,stand,motionless,479912
pillars,give,feel,440475
person,fill,jars,523100
that,have,television,180383
restaurant,have,clock,36494
girl,check,phone,144333
woman,ride,bike,144333
person,can,oranges,523100
man,hold,controller,108026
that,have,bowl,485844
person,use,keyboard,108026
man,wear,hat,58539
photo,depict,woman,485844
housewife,hold,platter,485844
bunch,cross,intersection,228942
man,perform,trick,87038
he,perform,trick,87038
athletes,perform,tricks,87038
bathroom,have,walls,394328
man,fall,skateboard,87038
urinals,have,signs,348045
that,have,stairs,464689
woman,place,turkey,485844
bathroom,have,mirror,58029
photographs,show,sign,260657
men,herd,pack,173799
man,ride,motorcycle,461751
that,have,wall,129322
that,have,counters,7574
boy,wear,helmet,210299
man,ride,motorcycle,461751
that,advertise,restaurant,260657
that,pet,cat,176857
woman,ride,bicycle,488592
building,have,tower,361142
group,pass,buildings,296649
they,pet,it,176857
people,ride,motorcycles,296649
photo,depict,courtroom,342367
that,separate,harbor,502347
trees,banana,dirt,466835
woman,take,selfie,394199
people,ride,bikes,178982
pair,drive,highway,178982
area,feature,wall,59920
man,stick,tongue,546976
mirror,have,candles,223789
lot,cause,jam,210273
set,display,game,509260
man,ride,motorcycle,578792
woman,walk,bike,350122
books,shelve,television,509260
cat,have,paws,211042
that,have,mirror,557172
vanity,feature,motif,557172
men,ride,horses,507975
couple,ride,horses,507975
officer,ride,motorcycle,499622
bathroom,have,walls,32285
bathroom,have,sink,138819
people,watch,man,346703
that,have,products,239627
that,put,fire,346703
door,have,panels,266206
picture,show,interior,30213
couple,show,motorcycle,68093
room,have,counters,471991
kitchen,feature,island,30213
pictures,feature,bananas,193926
kitchen,have,island,30213
bathroom,have,shower,446574
bathroom,have,rack,197796
person,ride,dirtbike,145620
person,ride,bike,145620
dog,have,head,520301
giraffes,take,turns,383676
man,wear,gloves,3156
kitchen,have,stove,237928
that,have,pot,237928
it,have,appliances,237928
man,drive,motorcycle,165518
airline,taxi,runway,323709
characters,give,presentation,283785
desk,hold,lunch,248314
man,read,story,283785
man,wear,costume,283785
room,multicolore,floor,550797
toilet,have,lid,550797
who,bike,street,577932
one,ride,bike,577932
wall,mount,urinals,206271
bathroom,have,shower,547816
that,have,soup,523175
that,have,dog,424162
bathroom,have,appliances,397327
bird,eat,bread,123585
party,eat,pizza,438774
dog,pull,woman,424162
woman,dip,food,54654
that,have,toilet,564023
woman,ride,bike,122166
woman,ride,bike,122166
that,bike,road,261888
grey,stripe,cat,157807
man,pick,piece,292456
bus,have,books,200839
motorcycles,park,trees,273551
cat,watch,cars,240940
that,have,bunch,540502
door,reveal,toilet,416745
girls,smoke,cigarettes,479126
that,have,extinguisher,56127
woman,brush,teeth,507473
that,feature,wall,104572
man,hold,object,229358
bowl,contain,tangerines,136772
bathroom,have,sinks,6213
bathroom,have,tub,6213
man,park,motorcycle,551794
people,wear,helmets,192699
someone,park,bicycle,370208
that,have,decor,446574
crosswalk,have,fire,569030
fire,have,hose,569030
it,approach,platform,469246
crew,repair,light,183246
smoke,obscure,mural,148999
that,have,text,25593
bus,drive,street,249219
kids,feed,giraffe,234526
giraffe,hang,neck,459757
man,read,book,264535
giraffes,roam,paddock,581100
giraffe,extend,tongue,235057
herd,cover,piece,230166
boy,hold,leaf,234526
scene,feature,car,558558
train,round,tracks,558421
that,head,tracks,558421
woman,sit,nest,87144
signs,show,intersection,228771
detector,display,speed,283037
cars,buy,sign,283037
people,browse,shops,322610
train,head,tracks,225946
engine,pull,cars,225946
giraffe,eat,leaves,151662
that,read,k.,269682
drives,pass,station,578967
dog,sniff,base,291664
giraffes,eat,branch,420472
zebras,eat,piece,420472
chicken,cover,landscape,104119
sign,show,directions,509258
giraffes,share,branch,420472
train,stretch,track,578967
man,carry,sheep,525155
building,have,signs,509258
signs,point,directions,509258
man,carry,sign,202339
goose,eat,grass,436551
sheep,carry,hill,525155
benches,face,other,327890
swan,have,grasses,436551
buses,have,tower,171298
view,overlook,ocean,94751
yard,have,fence,479099
train,give,illusion,508917
bench,cover,serenity,479099
ducks,follow,mother,166259
giraffe,keep,eye,445365
intersection,have,building,520009
man,have,bottle,284991
man,put,bottle,284991
people,walk,truck,520009
man,drink,water,284991
that,show,graffiti,244019
sign,mark,intersection,146498
image,show,signs,501023
people,leave,station,277005
picture,face,eyes,469652
man,walk,bike,50145
giraffes,make,contact,157098
man,push,bike,50145
one,feed,leaves,180011
man,offer,leaves,180011
men,share,meal,215723
group,feed,giraffes,65455
sign,give,streets,173183
sheep,have,look,547383
giraffes,stick,heads,183104
giraffe,lean,neck,55072
that,have,face,203294
birds,get,drink,490125
that,house,pieces,527616
bus,make,splash,84170
car,pass,it,514376
sign,say,bronx,41488
that,have,light,198928
that,say,drive,189698
that,read,dr,189698
groups,admire,plane,478862
that,say,avenue,499181
train,pull,guard,185472
cat,attack,weeds,222235
group,cross,street,303818
giraffe,point,head,289586
giraffe,stretch,next,289586
sign,say,drive,189698
statue,hold,newspaper,94326
giraffe,raise,head,289586
train,round,corner,429718
giraffes,wander,park,261712
bus,drive,street,226802
giraffe,enjoy,treat,101780
man,kiss,woman,78843
man,kiss,top,78843
man,kiss,girl,78843
man,kiss,woman,78843
girl,take,picture,1268
man,ride,horse,439715
woman,take,photo,1268
hat,ride,horse,439715
statue,read,newspaper,94326
sign,point,way,185157
some,tree,people,563653
train,enter,stop,448410
street,show,buildings,563653
that,let,smoke,423229
train,have,oval,572303
that,read,parking,185157
man,enjoy,afternoon,88951
giraffe,have,horns,216739
that,read,village,369812
that,read,othello,118405
bus,read,bus,196843
sheep,stand,grass,154947
boy,take,picture,449909
giraffes,poke,heads,286849
window,blur,image,458790
bus,make,way,98392
zebra,eat,hay,433243
signal,show,lights,430875
light,show,yellow,319607
noel,have,sign,11122
i,love,tottenham,369812
green,light,bright,430875
fire,have,posts,165713
lights,glow,green,430875
train,read,bnsf,493566
giraffe,suck,bottle,302452
sign,mean,profanity,161128
city,have,buildings,39484
that,go,tracks,440617
kids,pet,sheep,484893
boy,have,hand,484893
photo,check,people,62353
car,have,letters,493566
clock,make,statue,459500
sign,give,face,69138
street,give,directions,369812
that,have,sign,542073
building,have,lamp,542073
people,cross,street,463730
couple,cross,street,463730
statue,have,clock,459500
pedestrians,cross,street,463730
bus,pick,riders,179265
red,enter,sign,447789
a,enter,sign,447789
that,read,sparta,516708
cops,ride,horses,431876
man,feed,birds,374052
woman,take,snooze,308394
giraffes,eat,shrubbery,448448
giraffes,eat,leaves,448448
subway,stop,entrance,532530
giraffes,love,leaves,448448
that,have,stars,580757
giraffes,set,grass,417876
flag,paint,fire,580757
vehicle,cross,intersection,88432
passersby,ignore,sign,502336
child,place,hands,458755
people,cross,street,280710
that,have,number,565563
child,pet,sheep,458755
that,say,peddling,521141
horses,eat,hay,298697
man,use,computer,459153
adult,face,direction,79565
dog,wear,cap,361571
engine,approach,switch,270297
engine,haul,cars,311883
sparrows,sit,table,277051
giraffe,stick,nose,575187
child,drink,bottle,532058
street,have,sign,561679
house,line,road,276720
signs,give,names,58636
trains,pass,other,106281
giraffes,spend,time,528862
sign,have,sign,121153
signs,cast,shadows,528977
building,have,graffiti,528977
giraffe,lower,head,301981
sign,advertise,locations,121153
it,have,advertisement,542856
trucks,pass,building,323571
street,run,direction,283318
people,cross,sign,410712
birds,pick,berries,176847
who,buy,groceries,343496
man,wear,sunglasses,456559
bird,eat,berries,176847
bird,eat,berry,176847
woman,hold,baby,463618
herd,cover,banks,247838
it,travel,tracks,184400
bird,have,beak,357060
that,pass,bridge,184400
snow,cover,fire,42628
giraffe,splay,legs,259382
cars,pass,trees,396568
sherds,move,road,140583
sheep,follow,other,534394
bird,put,beak,418959
train,go,track,396568
guy,pass,bus,389684
man,walk,sidewalk,389684
locomotive,haul,freight,396568
women,debark,bus,507797
that,have,signs,514540
picture,have,bat,279714
lady,wear,hat,358923
woman,hold,cellphone,358923
people,board,bus,255749
that,contain,boats,275791
people,have,conversation,505942
giraffe,eat,leaves,498857
that,say,whoa,414133
couple,ride,horses,434247
that,eat,some,186637
giraffe,eat,leaves,498857
bus,drive,street,147725
cat,wear,hat,475732
sheep,eat,grass,340272
cat,wear,cap,475732
cat,wear,hat,475732
man,sun,himself,49259
that,approach,pickup,206994
that,let,passengers,138979
sign,have,sign,172856
giraffe,make,face,17031
train,make,way,323751
that,paint,colors,338191
giraffe,make,face,17031
hydrants,have,looks,338191
that,have,rainbow,326627
group,crowd,streets,142585
train,make,way,303863
train,ride,tracks,303863
cars,crowd,street,142585
people,cross,street,373353
lens,show,corner,184324
people,cross,street,373353
sign,have,graffiti,522940
sign,have,graffiti,522940
structure,ride,way,379800
that,have,piles,491470
people,cross,crosswalk,373353
that,have,lane,93154
engine,pull,car,379800
that,have,amount,499768
hydrant,have,lot,499768
that,say,roja,269632
flock,cross,field,375763
picture,show,side,240767
that,have,water,273198
train,go,track,130566
train,pull,number,130566
bus,drive,street,497867
that,have,lights,260266
bus,turn,corner,497867
that,have,sign,311909
who,push,bus,353180
bird,sit,branch,402519
bench,overlook,pool,395575
train,drive,tracks,241297
that,hold,frog,475223
that,have,graffiti,530466
bird,eat,frog,475223
bird,clean,itself,460160
train,have,paint,530466
bus,drive,street,133819
sheep,inspect,pile,12062
bus,make,way,133819
man,hold,sign,278749
person,choose,seat,545594
couple,pull,cart,384513
people,board,it,210394
man,hold,sign,278749
cloud,overshadow,houses,356169
donkey,pull,cart,384513
train,move,tracks,108440
sign,have,graffiti,192716
bench,have,grass,271457
man,wear,suit,131444
number,enjoy,themselves,373705
train,pass,bridge,579818
stop,sign,bushes,192716
giraffe,eat,grass,289659
man,hit,balloon,101068
building,shine,windows,109441
man,swinge,bat,101068
train,make,way,364587
player,swinge,bat,101068
that,have,sign,169169
bench,have,hat,310072
train,drive,tracks,90155
hydrant,have,ice,390301
signs,state,directions,516143
goats,get,tie,559956
person,hold,bag,198510
herd,block,road,389566
women,serve,cakes,140640
sign,read,stop,516804
slope,cover,background,474881
elk,have,horns,474881
goats,eat,grass,474881
bird,have,head,309452
girls,pet,goats,8690
children,pet,animals,8690
girls,pet,goats,8690
girls,pet,goat,8690
train,come,tracks,200162
sign,read,bacchanalia,104782
that,indicate,six,575372
men,line,runway,190676
woman,watch,train,253835
trains,sit,idle,482585
signs,proclaim,intersection,88218
giraffes,eat,greens,272364
station,have,building,363072
sign,mark,intersection,278006
building,line,street,6723
hydrant,have,writing,20107
that,have,leash,238039
train,come,tracks,363072
that,have,snow,366178
that,have,sign,193884
lone,stop,sign,193884
that,have,lanes,350023
street,have,cars,512564
pedestrians,pass,light,361103
man,take,picture,17905
row,line,street,369751
that,have,containers,61268
intersection,feature,cars,350023
picture,show,top,419882
train,cross,street,61268
rain,cover,terrain,281179
bird,have,head,561009
station,have,lights,290293
that,read,animals,214200
that,have,graffiti,424975
bench,have,symbol,453584
woman,hold,baby,240049
eatery,have,area,453584
train,ride,tracks,539445
bus,pick,load,377723
train,go,tracks,39670
car,drive,lot,82846
sign,stencil,paint,571008
that,display,meaning,571008
that,have,people,88848
that,have,colors,350607
cat,have,on,286708
cat,wear,hat,286708
cat,wear,hat,89271
which,portray,hydrants,88848
that,say,parking,488710
bus,drive,street,1584
man,hold,dog,236166
train,make,way,364587
group,spectate,cluster,395388
bus,have,part,128051
that,have,signs,556498
people,watch,sheep,288685
bus,drive,road,423519
that,have,picture,98497
signs,give,directions,297681
green,line,roadway,553339
dog,herd,sheep,288685
that,have,signs,553339
giraffes,stand,one,504580
man,hold,bag,73702
that,give,directions,553339
train,enter,station,268000
people,board,bus,52007
people,stand,bags,73702
that,say,city,86483
trees,mark,side,112634
who,ride,horse,492282
that,flash,lights,8762
that,have,sheep,546556
that,fly,sand,126107
oman,move,path,492282
that,have,bananas,227187
group,roam,enclosure,525600
group,ride,horses,492282
people,ride,horses,492282
train,come,tracks,82085
gentleman,wave,flag,82085
woman,steer,boat,396518
that,have,couple,523241
girl,show,bear,315492
pole,have,signs,270386
man,ride,horse,183675
cowboy,ride,horse,183675
couple,feed,sheep,94871
vehicles,show,cars,447342
flock,surround,man,511076
that,read,stops,236845
bus,stop,passengers,138979
people,express,right,100723
children,feed,giraffe,234526
that,have,vehicles,244379
that,warn,goers,101022
that,say,cave,404601
man,have,cats,413395
men,drive,cattle,276024
bright,refurbish,truck,41633
train,come,tracks,231169
woman,walk,dogs,512836
who,use,computer,312213
animal,take,nap,181969
woman,walk,dogs,512836
woman,walk,dogs,512836
man,hold,suitcase,422836
man,carry,suitcase,422836
scene,include,men,190753
men,play,game,190753
girl,take,portrait,16598
woman,take,selfie,16598
elephants,take,drink,389316
who,dye,blue,16598
man,fold,arms,568814
train,cover,tracks,444879
bridge,carry,roadway,14380
woman,hold,umbrella,161032
cows,graze,field,125072
cattle,cross,road,125072
that,serve,dogs,129062
woman,parasol,umbrella,60052
woman,hold,umbrella,60052
that,hold,umbrella,60052
cows,graze,a,224093
cow,have,face,412887
people,carry,umbrellas,477288
man,hold,umbrella,455157
group,carry,umbrellas,477288
boy,dip,hand,20333
guy,pedal,bike,184611
man,ride,horse,79229
people,watch,man,8021
person,move,hay,301061
dogs,take,nap,401991
man,pull,elephant,301061
man,ride,horse,79229
man,drive,taxi,184611
man,catch,frisbee,409198
people,use,rickshaws,184611
street,have,diners,67616
man,feed,elephant,21903
boy,use,keyboard,358525
meter,have,wrap,568147
boy,have,fun,358525
nan,enjoy,day,393115
guy,sit,table,180487
man,have,foot,393115
man,show,tie,460683
engine,have,checkers,350003
women,hold,umbrellas,413689
group,contain,one,268375
man,push,cart,500257
bottom,show,lots,393115
men,push,carts,500257
man,hold,tie,460683
cow,have,map,507667
goers,set,umbrellas,319369
man,wear,tie,460683
dog,sniff,bat,292330
dog,sit,mattress,235399
people,stand,guard,319369
cows,eat,grass,235857
that,have,commandments,460683
that,sniff,bat,292330
dog,smell,bat,292330
elephants,greet,other,263860
man,hold,drink,347254
group,drink,beer,416104
chip,deliver,van,196759
man,hold,drink,347254
three,cow,black,235857
cows,eat,grass,235857
man,wear,tie,163682
elephants,touch,other,263860
elephants,go,nose,263860
cart,fill,train,137727
dog,examine,something,30494
guy,have,hands,476415
train,belch,smoke,488664
man,play,frisbee,521259
dog,look,window,407083
tie,say,fish,476415
that,have,papers,153568
woman,hold,umbrella,496854
woman,hold,umbrella,496854
truck,load,train,137727
man,play,frisbee,521259
that,come,river,378139
kitten,paw,image,411665
who,catch,frizzebe,200961
we,see,picture,78565
man,throw,frisbee,521259
engine,emit,smoke,488664
cat,place,paw,411665
that,have,tables,153011
people,get,meal,153011
teddy,bear,cake,377368
man,walk,street,520832
herd,cross,river,245915
kitten,poke,paw,411665
person,brush,teeth,309484
woman,tow,luggage,12280
cat,have,intention,425390
men,hold,awards,453166
man,ride,elephant,415748
person,hold,umbrella,493772
that,read,tie,64495
person,brush,teeth,309484
woman,read,book,172617
group,cross,river,119641
man,ride,bike,107226
woman,have,suitcase,172617
woman,throw,frisbee,442746
people,have,fun,132796
train,drive,tracks,286507
table,have,suitcases,115245
deck,have,plenty,233033
surfer,launch,dog,462728
train,approach,signal,201148
train,drive,tracks,201148
man,hold,frisbee,88485
lady,ride,back,110784
all,hold,umbrellas,212800
group,help,elephants,465180
dog,ride,wave,462728
woman,pat,elephant,183648
man,hold,handsaw,289229
people,hold,riding,212800
they,tow,car,162366
doctor,hold,saw,289229
boy,throw,frisbee,88485
elephant,enjoy,drink,53624
truck,transport,truck,467848
cat,stare,eyed,524280
people,pet,elephant,183648
photo,show,someone,365208
cow,get,milk,526706
woman,hold,umbrella,181421
people,train,them,48504
elephant,give,bath,210708
cat,wear,tie,131938
wharehouse,accomodate,array,573943
elephant,chase,dog,237864
man,wear,suit,18770
man,wear,jacket,18770
vehicle,display,plate,140203
man,wear,suit,18770
that,read,milk,140203
elephants,cross,tusks,108864
elephants,wrap,trunks,108864
elephants,eat,leaves,97230
men,wear,hardhats,502168
that,read,georgetown,347163
elephants,face,other,97230
man,wear,tie,21604
stop,sign,sign,283038
man,fix,tie,21604
truck,display,car,426372
that,display,picture,131131
photo,have,city,34071
that,have,lights,21604
cat,watch,picture,115885
president,walk,building,170955
men,ride,elephants,320743
girl,put,flower,11051
boys,ride,elephants,320743
i,see,them,126216
woman,eat,pizza,515025
girl,pin,bouttoniere,11051
cat,wear,hat,545826
red,ride,tracks,479030
one,find,residents,430073
person,hold,bottle,535094
cow,get,milk,526706
umbrella,block,sun,292155
woman,hold,animal,519688
both,hold,umbrellas,230993
that,block,sun,292155
people,do,tricks,161978
man,have,frisbee,343803
collage,show,sets,161978
man,throw,frisbee,343803
photo,show,truck,219271
truck,pull,crate,219271
man,lead,cow,399764
stickers,decorate,briefcase,312421
people,ride,elephants,267191
who,sport,ribbon,399764
all,poke,heads,137576
boat,make,waves,160772
cat,lay,papers,112798
cat,observe,dishwasher,407960
man,shake,hands,4134
men,shake,hands,4134
meters,line,street,230450
man,show,muscles,60932
cat,lick,doughnut,572388
cat,use,laptop,51008
one,hold,luggage,11699
men,shake,hands,4134
woman,hold,purse,250137
that,use,trunk,259625
woman,hold,umbrella,250137
man,walk,path,210388
that,sniff,something,189806
obama,deliver,speech,344268
man,hold,umbrella,360960
person,hold,umbrella,360960
dog,wear,harness,392818
that,contain,equipment,200667
puppy,wear,apparatus,392818
sun,hit,corner,258793
truck,plow,snow,9769
pick,drive,road,9769
i,love,way,258793
person,bear,bottle,390826
person,lift,leg,112110
man,play,frisbee,509403
trucks,drive,street,220732
man,throw,ball,509403
man,play,catch,509403
cow,feed,popsicle,535094
he,have,horns,118594
couple,make,way,201025
cattle,have,pattern,518213
man,cross,street,393226
joke,stop,sign,565153
road,stop,signs,565153
photo,show,men,297022
meter,have,sign,53994
that,have,sign,53994
someone,vandalize,one,565153
person,tie,tie,450075
woman,have,smoke,114884
that,tie,tie,450075
woman,smoke,cigarette,19924
that,smoke,something,19924
woman,smoke,cigarette,19924
photo,show,boat,188689
man,possess,face,271997
that,paint,markings,369037
person,pet,elephant,369037
hand,touch,trunk,369037
that,have,exterior,416170
cat,perch,itself,416170
people,take,cover,177861
herd,walk,street,580418
meter,have,fifteen,430871
cat,watch,clouds,198641
man,wear,tie,244496
that,have,piercings,85329
man,ware,tie,244496
that,have,robot,244496
dog,rest,head,532575
brides,get,standing,476514
person,hold,stick,508101
that,have,bird,492992
train,have,stripe,352491
boy,pull,luguage,350019
bear,hold,bear,453981
boy,pull,suitcase,350019
bears,bite,other,453981
cows,have,horns,119038
men,sell,ties,397303
that,catch,interest,533536
that,have,something,533536
girl,hold,umbrella,7088
woman,pet,cat,492284
that,tell,visitors,526103
vendors,show,selection,397303
girl,have,time,453001
woman,play,frisbee,328238
cat,take,nap,478393
crowd,watch,group,279927
whom,expect,someone,279927
boy,hold,umbrella,281754
cat,curl,paws,264441
tourists,take,photos,414795
truck,pass,intersection,519039
cows,eat,grass,459396
man,have,shirt,67534
man,take,selfie,67534
man,ride,elephant,440171
man,ride,elephants,440171
animal,wear,rope,222863
woman,hold,umbrella,339823
one,hold,frisbee,149568
man,have,flower,491867
elephant,carry,plants,330790
card,show,ship,148730
graffiti,decorate,wall,280325
that,have,writing,280325
woman,hold,umbrella,339823
man,throw,head,6894
elephant,eat,food,330790
that,have,shirt,471087
elephant,hold,leaves,330790
that,hold,umbrella,250127
that,have,tie,491867
bear,have,nose,285
couple,walk,sidewalk,549930
cat,sniff,keyboard,245576
man,wear,tie,206025
boats,do,job,144932
tugboat,pull,boat,144932
man,hold,umbrella,47585
